Name,Type,Country,Matches,Wickets,Overs,Average,Economy,Strike Rate,Wk/over,Ov/Mtch,Wkpermatch,Balls,Top,Middle,Lower,CBR
"Sandhu, Balwinder S",MF,India,8,10,170,55.7,3.28,102,0.058823529411765,21.25,1.25,1020,70,20,10,9.01888667478886
Shahadat Hossain,MF,Bangladesh,38,72,896.66,51.82,4.16,74.72,0.08029799478063,23.5963157894737,1.89473684210526,5380,41.7,33.3,25,10.9863758067485
Sikander Bakht,MF,Pakistan,26,62,749.33,36,2.97,72.69,0.082740581586217,28.8203846153846,2.38461538461538,4496,41.8,40.3,17.9,7.9315734703456
"Singh, Vikram R",MF,India,5,8,111.5,53.38,3.83,83.63,0.071748878923767,22.3,1.6,669,12.5,37.5,50,10.2814497032092
"Snedden, Martin C",MF,New Zealand,25,58,795.83,37.91,2.76,82.33,0.072879886407901,31.8332,2.32,4775,37.9,34.5,27.6,7.48422053831738
"Southee, Timothy G",MF,New Zealand,54,190,1982,31.52,3.02,62.59,0.095862764883956,36.7037037037037,3.51851851851852,11892,38.4,37.9,23.7,7.91914637564359
Syed Rasel,MF,Bangladesh,6,12,146.5,47.75,3.91,73.25,0.081911262798635,24.4166666666667,2,879,66.7,33.3,0,10.3324015830573
Talha Jubair,MF,Bangladesh,7,14,181.66,55.07,4.24,77.86,0.077067048332049,25.9514285714286,2,1090,42.9,35.7,21.4,11.2422149455657
"Tremlett, Christopher T",MF,England,12,53,483.66,27,2.96,54.75,0.109581110697597,40.305,4.41666666666667,2902,35.8,45.3,18.9,7.63087494114159
"Vaughan, Justin T C",MF,New Zealand,6,11,173.33,40.91,2.6,94.55,0.06346275889921,28.8883333333333,1.83333333333333,1040,9.1,45.5,45.5,7.14905809188656
"Venkatesh Prasad, Bapu K",MF,India,33,96,1173.5,35,2.86,73.34,0.081806561567959,35.5606060606061,2.90909090909091,7041,32.3,41.7,26,7.65585595757216
"Wagner, Neil",MF,New Zealand,27,108,966.83,28.68,3.2,53.71,0.111705263593393,35.8085185185185,4,5801,28.7,39.8,31.5,8.19703462895834
"Whittall, Guy J",MF,Zimbabwe,46,51,781,40.94,2.67,91.88,0.065300896286812,16.9782608695652,1.10869565217391,4686,25.5,49,25.5,7.31990140412632
"Neesham, James D S",MF,New Zealand,10,12,151.83,46,3.63,75.9,0.079035763683067,15.183,1.2,911,16.7,41.7,41.7,9.66505884622805
